text,label
Government announces new education policy,REAL
NASA launches new satellite for climate monitoring,REAL
Scientists discover new cancer treatment,REAL
Stock markets rise after economic reforms,REAL
New technology improves internet speed worldwide,REAL
Health experts recommend daily exercise,REAL
Aliens landed in New York yesterday,FAKE
Secret government chip found in vaccines,FAKE
Celebrity claims miracle cure doctors hide,FAKE
Man builds time machine in garage,FAKE
Scientists say chocolate cures all diseases,FAKE
Breaking: invisible city discovered under ocean,FAKE
