text,label
Government announces new education policy,REAL
NASA launches new satellite for climate monitoring,REAL
Scientists discover new cancer treatment,REAL
Stock markets rise after economic reforms,REAL
New technology improves internet speed worldwide,REAL
Health experts recommend daily exercise,REAL
Aliens landed in New York yesterday,FAKE
Secret government chip found in vaccines,FAKE
Celebrity claims miracle cure doctors hide,FAKE
Man builds time machine in garage,FAKE
Scientists say chocolate cures all diseases,FAKE
Breaking: invisible city discovered under ocean,FAKE
"Sahyadri Engineering College, Christ (Deemed-to-be-Unviersity) sign MoU",REAL
Three-tier security in place at counting centres in Cuddalore district,REAL
"Fenerbahçe taraftarı, RAMS Park'a hareket etti",REAL
Healthcare’s Identity Crisis: Why A Single Prescription Requires Multiple Logins,REAL
"Megan Thee Stallion Accuses Klay Thompson of Cheating, Rumors Swirl Around WNBA Star Lexie Brown",REAL
"MotoGP: Grousse Präis vu Spuenien: Alex Marquez wënnt Heem-Grand-Prix, Bezzecchi baut Ecart am General aus",REAL
&#39;Plays like gully cricket&#39;: Mohammed Kaif in awe of Vaibhav Sooryavanshi&#39;s blazing century,REAL
The Quiet Revolution Comes Full Circle: How CMS ACCESS Validates Safety-Net Innovation,REAL
Trump “was likely target of shooting at White House Correspondents’ dinner”,REAL
Shots fired after toddler's funeral in NC; two arrested after chase and crash,REAL
